timestamp,open,high,low,close,volume
2025-09-29 22:38:00,1032.42,1032.5,1031.95,1031.96,110.877
2025-09-29 22:39:00,1031.95,1032.07,1031.95,1032.06,148.428
2025-09-29 22:40:00,1032.07,1032.42,1032.06,1032.22,121.911
2025-09-29 22:41:00,1032.22,1032.32,1031.75,1032.17,117.368
2025-09-29 22:42:00,1032.17,1032.21,1032.16,1032.2,48.601
2025-09-29 22:43:00,1032.2,1032.99,1032.2,1032.81,147.397
2025-09-29 22:44:00,1032.82,1033.56,1032.81,1033.56,136.989
2025-09-29 22:45:00,1033.56,1033.56,1032.85,1032.85,76.284
2025-09-29 22:46:00,1032.85,1033.56,1032.85,1033.56,41.528
2025-09-29 22:47:00,1033.55,1034.82,1033.55,1034.67,150.954
2025-09-29 22:48:00,1034.66,1036.0,1034.59,1034.59,578.63
2025-09-29 22:49:00,1034.6,1035.23,1034.44,1034.44,95.986
2025-09-29 22:50:00,1034.44,1034.95,1034.43,1034.8,114.28
2025-09-29 22:51:00,1034.79,1035.14,1034.77,1034.98,85.536
2025-09-29 22:52:00,1034.99,1035.23,1033.23,1033.72,205.509
2025-09-29 22:53:00,1033.72,1034.54,1033.71,1034.54,45.407
2025-09-29 22:54:00,1034.53,1035.12,1034.53,1035.03,100.655
2025-09-29 22:55:00,1035.04,1035.9,1035.03,1035.76,97.523
2025-09-29 22:56:00,1035.75,1035.81,1035.2,1035.2,75.239
2025-09-29 22:57:00,1035.21,1035.21,1034.29,1034.3,89.801
2025-09-29 22:58:00,1034.29,1034.89,1034.12,1034.61,189.245
2025-09-29 22:59:00,1034.61,1034.8,1034.4,1034.41,41.475
2025-09-29 23:00:00,1034.41,1034.41,1033.8,1033.99,94.55
2025-09-29 23:01:00,1033.99,1033.99,1032.99,1033.75,157.575
2025-09-29 23:02:00,1033.75,1033.96,1033.54,1033.71,46.523
2025-09-29 23:03:00,1033.71,1034.41,1033.71,1033.77,182.859
2025-09-29 23:04:00,1033.77,1034.3,1033.3,1033.39,105.83
2025-09-29 23:05:00,1033.38,1033.38,1031.28,1031.64,313.935
2025-09-29 23:06:00,1031.64,1031.74,1031.2,1031.5,165.498
2025-09-29 23:07:00,1031.5,1032.4,1031.2,1032.07,238.746
2025-09-29 23:08:00,1032.08,1032.31,1031.68,1032.0,88.761
2025-09-29 23:09:00,1031.99,1033.2,1031.99,1032.96,77.224
2025-09-29 23:10:00,1032.96,1034.18,1032.45,1034.16,257.11
2025-09-29 23:11:00,1034.16,1034.16,1031.87,1032.03,71.398
2025-09-29 23:12:00,1032.04,1032.2,1031.53,1032.11,162.092
