timestamp,open,high,low,close,volume
2025-09-29 22:36:00,4218.48,4218.48,4217.39,4217.96,58.2552
2025-09-29 22:37:00,4217.96,4218.48,4217.96,4218.21,71.7527
2025-09-29 22:38:00,4218.21,4218.21,4216.41,4216.41,66.1259
2025-09-29 22:39:00,4216.42,4216.42,4213.49,4213.89,253.9988
2025-09-29 22:40:00,4213.9,4215.95,4213.9,4215.91,101.2231
2025-09-29 22:41:00,4215.91,4216.37,4215.56,4216.36,26.2591
2025-09-29 22:42:00,4216.36,4216.36,4214.7,4215.33,103.9844
2025-09-29 22:43:00,4215.34,4215.34,4215.33,4215.34,24.2993
2025-09-29 22:44:00,4215.33,4216.56,4215.33,4216.56,77.2254
2025-09-29 22:45:00,4216.55,4216.56,4215.65,4215.65,345.1533
2025-09-29 22:46:00,4215.65,4219.53,4215.55,4219.52,157.9041
2025-09-29 22:47:00,4219.53,4220.84,4219.1,4220.58,133.5818
2025-09-29 22:48:00,4220.59,4222.0,4220.58,4221.7,272.7191
2025-09-29 22:49:00,4221.71,4223.12,4221.7,4222.62,61.3287
2025-09-29 22:50:00,4222.62,4222.99,4220.72,4220.72,121.177
2025-09-29 22:51:00,4220.72,4222.04,4220.29,4222.04,47.4608
2025-09-29 22:52:00,4222.04,4222.87,4215.87,4216.17,590.3151
2025-09-29 22:53:00,4216.17,4218.36,4216.16,4218.36,107.9317
2025-09-29 22:54:00,4218.36,4219.27,4218.35,4219.27,38.8649
2025-09-29 22:55:00,4219.27,4228.0,4219.26,4227.84,334.4739
2025-09-29 22:56:00,4227.85,4230.79,4226.89,4227.21,307.073
2025-09-29 22:57:00,4227.2,4227.21,4226.6,4227.02,101.0725
2025-09-29 22:58:00,4227.02,4227.33,4227.02,4227.32,37.8565
2025-09-29 22:59:00,4227.32,4228.02,4225.67,4226.06,222.2541
2025-09-29 23:00:00,4226.07,4226.76,4224.51,4224.77,99.6749
2025-09-29 23:01:00,4224.77,4224.77,4223.11,4223.56,102.0567
2025-09-29 23:02:00,4223.55,4223.76,4221.54,4223.75,143.6978
2025-09-29 23:03:00,4223.76,4227.88,4223.24,4226.99,116.7147
2025-09-29 23:04:00,4227.0,4230.0,4227.0,4228.76,189.6158
2025-09-29 23:05:00,4228.76,4228.76,4222.54,4224.72,159.4486
2025-09-29 23:06:00,4224.73,4226.25,4220.92,4223.12,208.885
2025-09-29 23:07:00,4223.12,4226.93,4223.11,4226.92,229.992
